PASILLO,UBICACION,CODIGO,DESCRIPCION,CANTIDAD,FECHA,Index
A,"A1,21",,"",,,362
A,"A1,21",,"",,,363
A,"A1,21",,"",,,364
A,"A1,21",,"",,,365
A,"A1,21",,"",,,366
A,"A1,21",,"",,,367
A,"A1,21",,"",,,368
A,"A1,21",,"",,,369
A,"A1,21",,"",,,370
A,"A1,21",,"",,,371
A,"A1,21",,"",,,372
A,"A1,21",,"",,,373
A,"A1,21",,"",,,374
A,"A1,21",,"",,,375
A,"A1,21",,"",,,376
A,"A1,21",,"",,,377
A,"A1,21",,"",,,378
A,"A1,22",4400637,CAJA BOMBON BCHE X KILO IN 16005,"747,0",22/05/2024,379
A,"A1,22",,"",,,380
A,"A1,22",,"",,,381
A,"A1,22",,"",,,382
A,"A1,22",,"",,,383
A,"A1,22",,"",,,384
A,"A1,22",,"",,,385
A,"A1,22",,"",,,386
A,"A1,22",,"",,,387
A,"A1,22",,"",,,388
A,"A1,22",,"",,,389
A,"A1,22",,"",,,390
A,"A1,22",,"",,,391
A,"A1,22",,"",,,392
A,"A1,22",,"",,,393
A,"A1,22",,"",,,394
A,"A1,22",,"",,,395
A,"A1,22",,"",,,396
A,"A1,23",4400618,CAJA TAB BCHE LECHE ALMEN BLANCO IN16207,"994,0",19/05/2024,397
A,"A1,23",,"",,,398
A,"A1,23",,"",,,399
A,"A1,23",,"",,,400
A,"A1,23",,"",,,401
A,"A1,23",,"",,,402
A,"A1,23",,"",,,403
A,"A1,23",,"",,,404
A,"A1,23",,"",,,405
A,"A1,23",,"",,,406
A,"A1,23",,"",,,407
A,"A1,23",,"",,,408
A,"A1,23",,"",,,409
A,"A1,23",,"",,,410
A,"A1,23",,"",,,411
A,"A1,23",,"",,,412
A,"A1,23",,"",,,413
A,"A1,23",,"",,,414
A,"A1,24",4102311,CAJA COD 505 GARR MANI 36X70 6001800854,"382,0",21/08/2024,415
A,"A1,24",4400604,CAJA GARRAP MANI 100G BAR. COD16213,"8,0",21/08/2024,416
A,"A1,24",4401074,CAJA P/TURRON DE MANI  X 80G -PAILAS,"13,0",21/08/2024,417
A,"A1,24",4102317,CAJA TURRON DE MANI C/FRUTAS X 120 G COD,"20,0",28/08/2024,418
A,"A1,24",4102308,CAJA CONFITES FIESTA 24X100 6001801042,"355,0",28/08/2024,419
A,"A1,24",,"",,,420
A,"A1,24",,"",,,421
A,"A1,24",,"",,,422
A,"A1,24",,"",,,423
A,"A1,24",,"",,,424
A,"A1,24",,"",,,425
A,"A1,24",,"",,,426
A,"A1,24",,"",,,427
A,"A1,24",,"",,,428
A,"A1,24",,"",,,429
A,"A1,24",,"",,,430
A,"A1,24",,"",,,431
A,"A1,24",,"",,,432
A,"A1,25",4401652,EST. MANI CHOCO SAMARGO X 80  BCHE PREMIUM,"11700,0",10/08/2024,433
A,"A1,25",4401650,EST. PASAS LECHE X 80  BCHE PREMIUM,"2500,0",10/08/2024,434
A,"A1,25",,"",,,435
A,"A1,25",,"",,,436
A,"A1,25",,"",,,437
A,"A1,25",,"",,,438
A,"A1,25",,"",,,439
A,"A1,25",,"",,,440
A,"A1,25",,"",,,441
A,"A1,25",,"",,,442
A,"A1,25",,"",,,443
A,"A1,25",,"",,,444
A,"A1,25",,"",,,445
A,"A1,25",,"",,,446
A,"A1,25",,"",,,447
A,"A1,25",,"",,,448
A,"A1,25",,"",,,449
A,"A1,25",,"",,,450
A,"A1,26",4102313,CAJA TURRON COD. 402/410 - 6001802983,"400,0",10/09/2024,451
A,"A1,26",,"",,,452
A,"A1,26",,"",,,453
A,"A1,26",,"",,,454
A,"A1,26",,"",,,455
A,"A1,26",,"",,,456
A,"A1,26",,"",,,457
A,"A1,26",,"",,,458
A,"A1,26",,"",,,459
A,"A1,26",,"",,,460
A,"A1,26",,"",,,461
A,"A1,26",,"",,,462
A,"A1,26",,"",,,463
A,"A1,26",,"",,,464
A,"A1,26",,"",,,465
A,"A1,26",,"",,,466
A,"A1,26",,"",,,467
A,"A1,26",,"",,,468
A,"A1,27",4401653,EST. PELADILLA ALMENDRAS X 80  BCHE PREMIUM,"5400,0",31/07/2024,469
A,"A1,27",,"",,,470
A,"A1,27",,"",,,471
A,"A1,27",,"",,,472
A,"A1,27",,"",,,473
A,"A1,27",,"",,,474
A,"A1,27",,"",,,475
A,"A1,27",,"",,,476
A,"A1,27",,"",,,477
A,"A1,27",,"",,,478
A,"A1,27",,"",,,479
A,"A1,27",,"",,,480
A,"A1,27",,"",,,481
A,"A1,27",,"",,,482
A,"A1,27",,"",,,483
A,"A1,27",,"",,,484
A,"A1,27",,"",,,485
A,"A1,27",,"",,,486
A,"A1,28",4401786,DISPLAY BOMBON CEREZA - BARILOCHE - 2023,"998,0",19/05/2024,487
A,"A1,28",4401787,DISPLAY BOMBON UVA - BARILOCHE 2023,"1240,0",19/05/2024,488
A,"A1,28",4141545,DISPLAY HUESITO FRUTAL -PALMESANO 2024,"3087,0",19/06/2024,489
A,"A1,28",,"",,,490
A,"A1,28",,"",,,491
A,"A1,28",,"",,,492
A,"A1,28",,"",,,493
A,"A1,28",,"",,,494
A,"A1,28",,"",,,495
A,"A1,28",,"",,,496
A,"A1,28",,"",,,497
A,"A1,28",,"",,,498
A,"A1,28",,"",,,499
A,"A1,28",,"",,,500
A,"A1,28",,"",,,501
A,"A1,28",,"",,,502
A,"A1,28",,"",,,503
A,"A1,28",,"",,,504
A,"A1,29",4400104,CAJA - P/ TURRÓNES X 120 G  GRABICH,"1160,0",30/08/2024,505
A,"A1,29",,"",,,506
A,"A1,29",,"",,,507
A,"A1,29",,"",,,508
A,"A1,29",,"",,,509
A,"A1,29",,"",,,510
A,"A1,29",,"",,,511
A,"A1,29",,"",,,512
A,"A1,29",,"",,,513
A,"A1,29",,"",,,514
A,"A1,29",,"",,,515
A,"A1,29",,"",,,516
A,"A1,29",,"",,,517
A,"A1,29",,"",,,518
A,"A1,29",,"",,,519
A,"A1,29",,"",,,520
A,"A1,29",,"",,,521
A,"A1,29",,"",,,522
A,"A1,30",4401596/01,DPY CHOCOLATE RAMA SEMIAMARGO X 30 GR 2024,"1000,0",22/05/2024,523
